"REF_DATE","GEO","DGUID","Divorces","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2798","","","","0"
"1990","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2364","","","","0"
"1990","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8489","","","","0"
"1990","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","9773","","","","0"
"1990","Yukon","","Divorces","Number","223","units ","0","v110","12.1","81","","","","0"
"1990","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","92","","","t","0"
"1991","Canada","","Divorces","Number","223","units ","0","v107","1.1","77020","","","","0"
"1991","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","912","","","","0"
"1991","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","269","","","","0"
"1991","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2280","","","","0"
"1991","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1652","","","","0"
"1991","Quebec","","Divorces","Number","223","units ","0","v115","6.1","20274","","","","0"
"1991","Ontario","","Divorces","Number","223","units ","0","v116","7.1","27694","","","","0"
"1991","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2790","","","","0"
"1991","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2240","","","","0"
"1991","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8388","","","","0"
"1991","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","10368","","","","0"
"1991","Yukon","","Divorces","Number","223","units ","0","v110","12.1","67","","","","0"
"1991","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","86","","","t","0"
"1992","Canada","","Divorces","Number","223","units ","0","v107","1.1","79034","","","","0"
"1992","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","867","","","","0"
"1992","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","227","","","","0"
"1992","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2304","","","","0"
"1992","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1633","","","","0"
"1992","Quebec","","Divorces","Number","223","units ","0","v115","6.1","19695","","","","0"
"1992","Ontario","","Divorces","Number","223","units ","0","v116","7.1","30463","","","","0"
"1992","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2657","","","","0"
"1992","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2325","","","","0"
"1992","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8217","","","","0"
"1992","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","10431","","","","0"
"1992","Yukon","","Divorces","Number","223","units ","0","v110","12.1","117","","","","0"
"1992","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","98","","","t","0"
"1993","Canada","","Divorces","Number","223","units ","0","v107","1.1","78226","","","","0"
"1993","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","930","","","","0"
"1993","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","227","","","","0"
"1993","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2376","","","","0"
"1993","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1606","","","","0"
"1993","Quebec","","Divorces","Number","223","units ","0","v115","6.1","19662","","","","0"
"1993","Ontario","","Divorces","Number","223","units ","0","v116","7.1","28903","","","","0"
"1993","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2586","","","","0"
"1993","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2239","","","","0"
"1993","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8612","","","","0"
